name z ra dec 
2020jhf 0.01543852 198.722667 27.008639
time flux flux_err zp band mag_sys 
58978.28962 95022.23915 1515.36597 30.0 ZTF_r AB 
58980.2526 189849.89006 955.44166 30.0 ZTF_r AB 
58986.22365 582168.58295 2282.30437 30.0 ZTF_g AB 
58986.25606 602520.69181 1308.704 30.0 ZTF_r AB 
58991.22861 705764.76889 1827.95468 30.0 ZTF_r AB 
58994.23253 707560.60453 3861.71264 30.0 ZTF_g AB 
58997.21422 647722.13823 536.46215 30.0 ZTF_g AB 
59000.26091 538687.0275 2430.45773 30.0 ZTF_g AB 
59004.19267 392976.77266 2933.37112 30.0 ZTF_g AB 
59004.23446 412412.93206 2402.28339 30.0 ZTF_r AB 
59009.17231 356868.30642 1728.30318 30.0 ZTF_r AB 
59009.25867 223740.54928 1835.31218 30.0 ZTF_g AB 
59012.19977 171906.51619 1046.45732 30.0 ZTF_g AB 
59012.22763 346067.59905 1291.43558 30.0 ZTF_r AB 
59018.2074 102681.82183 907.12386 30.0 ZTF_g AB 
59021.2276 84170.29461 864.64534 30.0 ZTF_g AB 
59021.24148 222896.52435 1142.32065 30.0 ZTF_r AB 
59024.20487 68799.86569 1015.26888 30.0 ZTF_g AB 
59024.21697 178935.6211 2166.98164 30.0 ZTF_r AB 
59027.18384 161759.96779 1856.25966 30.0 ZTF_r AB 
59027.21558 65660.83154 1727.53787 30.0 ZTF_g AB 
59031.17417 56307.51765 2306.29534 30.0 ZTF_g AB 
59031.21441 131036.73223 1702.83648 30.0 ZTF_r AB 
59036.19809 53568.70874 1766.71897 30.0 ZTF_g AB 
59036.25646 101026.45671 2260.62474 30.0 ZTF_r AB 
59039.17685 46703.09307 1156.53772 30.0 ZTF_g AB 
59039.2151 97300.15111 1032.4328 30.0 ZTF_r AB 
59042.22831 91240.01145 1306.01272 30.0 ZTF_r AB 
59045.20774 80598.49433 1058.09386 30.0 ZTF_r AB 
59045.23809 41489.00305 1150.57959 30.0 ZTF_g AB 
59074.15877 37879.30345 1602.46072 30.0 ZTF_r AB 
59076.15051 31268.0951 2048.09524 30.0 ZTF_r AB 
59076.15551 32413.27094 1690.86632 30.0 ZTF_r AB 
59076.1605 32453.82749 1729.45387 30.0 ZTF_r AB 
59076.16549 34256.39965 1739.11394 30.0 ZTF_r AB 
59078.14922 30950.10055 1797.19252 30.0 ZTF_r AB 
59078.15418 30321.99001 1613.4622 30.0 ZTF_r AB 
59078.15914 28613.5137 1657.46713 30.0 ZTF_r AB 
59078.1641 29544.46824 1813.93337 30.0 ZTF_r AB 
59080.15552 26880.13493 2336.43864 30.0 ZTF_r AB 
59080.16514 36601.21876 3424.70695 30.0 ZTF_r AB 
59082.14431 27203.87583 3446.63077 30.0 ZTF_r AB 
59082.1492 20844.74119 2769.28849 30.0 ZTF_r AB 
59082.15409 26740.4287 2948.32863 30.0 ZTF_r AB 
59082.15898 15647.62299 2980.71434 30.0 ZTF_r AB 
59082.16385 28769.7628 3074.22508 30.0 ZTF_r AB 
59084.14177 25646.55896 3516.62454 30.0 ZTF_r AB 
59084.14667 23436.93995 2874.79154 30.0 ZTF_r AB 
59084.15155 23994.28988 2661.71634 30.0 ZTF_r AB 
59084.15644 24577.62664 2946.37178 30.0 ZTF_r AB 
59084.16082 27239.22158 3014.36626 30.0 ZTF_r AB 
59086.13894 14122.75412 3948.08299 30.0 ZTF_r AB 
59086.14378 22829.31954 2769.85412 30.0 ZTF_r AB 
59086.14863 27223.45326 3070.69996 30.0 ZTF_r AB 
59086.15347 26304.88055 2294.88383 30.0 ZTF_r AB 
59086.15831 18996.95278 2513.5725 30.0 ZTF_r AB 
59088.14087 25693.9354 3713.96424 30.0 ZTF_r AB 
59088.14569 26628.55533 3306.27525 30.0 ZTF_r AB 
59088.1547 21094.27305 3708.32864 30.0 ZTF_r AB 
59090.13976 24085.84209 3527.80951 30.0 ZTF_r AB 
59090.14479 21132.41084 3340.39463 30.0 ZTF_r AB 
59090.15481 23938.43467 3324.6894 30.0 ZTF_r AB 
59155.53412 8377.73354 2596.13486 30.0 ZTF_r AB 
59155.54358 7926.94935 2505.36062 30.0 ZTF_r AB 
59157.53139 9380.14807 2702.181 30.0 ZTF_r AB 
59176.51455 8510.24293 1666.83975 30.0 ZTF_g AB 
59194.50654 7459.49527 1823.90572 30.0 ZTF_r AB 
59198.55016 3885.76601 1094.53057 30.0 ZTF_g AB 
59202.51675 5118.1009 1320.32979 30.0 ZTF_g AB 
59221.48374 4654.47303 1362.07939 30.0 ZTF_g AB 
59223.53897 4557.64242 1168.8518 30.0 ZTF_g AB 
59231.42477 3732.34957 861.4084 30.0 ZTF_g AB 
59252.48579 3510.4726 838.98868 30.0 ZTF_g AB 
59321.29655 3645.29697 928.74127 30.0 ZTF_r AB 
